Rep	theta_norm	Y_norm	MLE_Err	Bayes_Err	Win	bya	c_value	bya_breakpoint
0181	0.00000	7.29865	53.27024	0.52141	52.74883	16.11284	0.98926	0.00000
0182	0.00000	6.57803	43.27044	0.00000	43.27044	24.49454	0.99707	0.47754
0183	0.00000	6.60908	43.67988	0.00000	43.67988	24.00451	0.99707	0.44629
0184	0.00000	6.94849	48.28157	0.00164	48.27993	18.69084	0.99121	0.08496
0185	0.00000	7.83761	61.42813	2.93538	58.49275	12.85635	0.98535	0.00000
0186	0.00000	5.98719	35.84639	0.00000	35.84639	33.44686	0.99902	0.86816
0187	0.00000	6.51156	42.40036	0.00000	42.40036	25.53701	0.99707	0.53809
0188	0.00000	6.74857	45.54323	0.00000	45.54323	21.77856	0.99512	0.30566
0189	0.00000	6.48146	42.00931	0.00000	42.00931	26.00607	0.99707	0.56348
0190	0.00000	7.43875	55.33504	0.97231	54.36273	15.19095	0.98926	0.00000
0191	0.00000	7.19380	51.75080	0.27185	51.47895	16.84173	0.98926	0.00000
0192	0.00000	7.43100	55.21983	0.94397	54.27586	15.24044	0.98926	0.00000
0193	0.00000	6.89389	47.52574	0.00000	47.52574	19.41733	0.99316	0.14551
0194	0.00000	5.83022	33.99142	0.00000	33.99142	35.53708	0.99902	0.91895
0195	0.00000	6.97667	48.67394	0.00933	48.66461	18.46754	0.99121	0.05371
0196	0.00000	6.81422	46.43365	0.00000	46.43365	20.71719	0.99316	0.23535
0197	0.00000	5.88901	34.68046	0.00000	34.68046	34.84804	0.99902	0.90137
0198	0.00000	7.44803	55.47317	1.00676	54.46641	15.13190	0.98926	0.00000
0199	0.00000	6.61290	43.73045	0.00000	43.73045	23.94401	0.99707	0.44238
0200	0.00000	6.15976	37.94265	0.00000	37.94265	30.90486	0.99902	0.78809
0201	0.00000	7.09623	50.35648	0.11027	50.24620	17.55214	0.99121	0.00000
0202	0.00000	7.32734	53.68996	0.60301	53.08695	15.91928	0.98926	0.00000
0203	0.00000	7.28212	53.02922	0.47696	52.55226	16.22547	0.98926	0.00000
0204	0.00000	7.25784	52.67629	0.41513	52.26115	16.39240	0.98926	0.00000
0205	0.00000	5.49564	30.20202	0.00000	30.20202	39.32648	0.99902	0.97559
0206	0.00000	6.92823	48.00042	0.00000	48.00042	18.85324	0.99121	0.10840
0207	0.00000	7.50757	56.36366	1.24106	55.12260	14.75869	0.98730	0.00000
0208	0.00000	4.88151	23.82916	0.00000	23.82916	45.69934	0.99902	0.99902
